"Speaker","Text"
"Mathilda","Bin ich junger Mann. Was kann ich für Sie tun?"
"Schwarzbart","Ich interessiere mich für die Gipsbüsten. Haben Sie noch mehr davon?"
"Mathilda","Das sind alle und als Gartenschmuck, kann ich sie Ihnen auch nicht verkaufen. Sie lösen sich im Regen auf. Zwei müssen wir deshalb schon zurücknehmen."
"Schwarzbart","Wirklich?"
"Mathilda","Zwei kommen zurück. Und die anderen vielleicht auch."
"Schwarzbart","Ich sammle solche Figuren. Ich möchte die fünf Ihnen abkaufen und alle, die noch zurückkommen. Sagen wir für 5$?"
"Mathilda","Einverstanden! Aber sie könnten beschädigt sein, für den Fall, daß die Leute versucht haben, sie abzuwaschen."
"Schwarzbart","Das stört mich nicht."
"REGIE","Cassettenendemusik"
"Schwarzbart","Hier sind 35$ für diese fünf und die anderen zwei."
"Bob","Aber das geht doch nicht."
"REGIE","Wagen fährt auf den Hof"
"Mathilda","Danke, die Büsten gehören Ihnen. Da kommt auch schon der Wagen mit den anderen beiden Büsten."
"Bob","Das sind doch ..."
"Mathilda","Was ist denn Bob? Was zappelst Du denn so rum?"
