"Speaker","Text"
"Bob","Ich meine nur, Gus hätte gerne so eine Büste. Wo sie doch von seinem Großonkel sind."
"Mathilda","Zu spät, es sind alle verkauft."
"Justus","Wir haben sie!"
"REGIE","Hundegebell"
"Schwarzbart","Das sind meine Büsten. Her damit!"
"Justus","Kommt gar nicht in Frage! Wieso denn?"
"Schwarzbart","Weil ich sie gekauft und bezahlt habe."
"REGIE","Java-Jim-Musik setzt ein"
"Mathilda","Justus, was fällt Dir ein? Die Büsten gehören dem Herrn!"
"Justus","Nein!"
"Schwarzbart","Her damit!"
"Justus","Ich gebe die Büste nicht ... ! Sie fällt zu Boden Oach!"
"Bob","Sie ist kaputt!"
"Mathilda","Jetzt hast Du sie runtergeworfen!"
"Schwarzbart","Danke, das genügt."
"Gus","Der Stein! Er hat den Stein!"
"Justus","Der Stein gehört uns!"
"Schwarzbart","(lacht): Irrtum! Ich habe sie soeben gekauft. Autotür schlägt zu"
"Peter","Aber, wir dürfen ihn doch nicht so einfach wegfahren lassen!"
"Justus","Wir haben keine andere Wahl. Was sollen wir denn tun?"
"Mathilda","Das habt Ihr Euch selbst zu zuschreiben."
"Justus","Eben, wir hätten Tante Mathilda was sagen müssen. Jetzt ist es zu spät. Er hat das Feurige Auge und er gibt es bestimmt nicht wieder her."
"Erzähler","Niedergeschlagen diskutierten Gus und die 3 Detektive, was nun zu tun war. Der Junge aus England war überzeugt davon, daß sein Erbe verloren war. Außerdem wurde das Unbehagen über den unheilbringenden Stein immer größer. Was war zu tun? Gab es überhaupt noch eine Möglichkeit das Feurige Auge zu retten? Da erschien plötzlich wiederum ein Auto auf dem Schrottplatz. Es hielt direkt vor den 4 Jungen."
"Bob","Himmel, schon wieder Dreipunkt!"
"REGIE","Vogelgezwitscher"
"Peter","Das gefällt mir gar nicht!"
"Rhandur","Guten Abend. Ich habe mir das hier angesehen. Da! Das sind offensichtlich die Reste der Augustusbüste. Äh, hatte ich nicht darum gebeten, mich anzurufen, wenn sie zurückgegeben werden?"
"Justus","Gewiß, doch ist sie jetzt leider zerbrochen."
"Rhandur","Mich würde ungemein interessieren, wie das passiert ist. Besonders aufschlußreich finde ich diese kleine Höhlung hier. In der Büste war etwas verborgen. Hundegebell"
"Justus","Ein Kunde ließ die Büste fallen und da ist sie kaputt gegangen. Er hat etwas vom Boden aufgehoben. Ich weiß nicht, was es war."
"Rhandur","Dieser Kunde, war das ein Mann mit einer großen Sonnenbrille und einem schwarzen Bart?"
"Justus","Ja."
"Rhandur","Und das Ding, was er aus den Scherben geholt hat, hat das etwa so ausgesehen?"
"Bob","Der Stein!"
"Justus","Ja!"
"Rhandur","Ihr habt wahrscheinlich alle von dem Feurigen Auge gehört? Und Ihr wißt, welches schreckliche Schicksal sein Besitzer ereilt, hm? Ich möchte Euch etwas zeigen. Musik setzt ein zieht die Klinge"
"Justus","Aber an der Klinge ist ja ... ."
"Rhandur","Das war unachtsam. Ich habe die Klinge nicht genug gesäubert. Blut ist nicht gut für solch feinen Stahl. Nun, ja. Was meint Ihr, wie sich Stahl und das Feurige Auge miteinander vertragen? Mal sehen. Ich lasse den Stein jetzt fallen. So. Plumpsen Und jetzt gebe ich ihm den Stahl."
"Bob","Sie beschädigen ja den Edelstein!"
"Rhandur","Sieh mal an. Das ist ja interessant. Was siehst Du?"
"Justus","Der Rubin hat einen Kratzer. Doch Rubine sind härter als Stahl. Stahl dürfte den Stein nicht ritzen."
"Rhandur","Sieh mal an. Also bist Du doch nicht so dumm, wie Du tust."
"Justus","Der Rubin wurde angekratzt, weil er nicht echt ist. Es ist eine Imitation, eine Nachahmung."
"Rhandur","Genau. Diese Nachbildung habe ich dem Herrn mit dem schwarzen Bart abgenommen. Das echte Feurige Auge müßte also noch zu finden sein. Da es in einer August- oder Augustusbüste versteckt ist, muß bei den Figuren noch ein anderer August versteckt sein."
"Bob","Ein anderer August? Nein, bestimmt nicht."
"Rhandur","Ich verlasse mich darauf, daß Ihr ihn findet. Ruft mich an, wenn Ihr ihn gefunden habt. Aber ich rate Euch, vergeßt es dieses Mal nicht wieder, sonst ... , denkt an Schwarzbart. Steigt ins Auto, startet den Motor und fährt weg"
"Peter","Er hat Schwarzbart umgebracht und ihm den Stein abgenommen. Er hat kaltblütig gemordet. Woher wußte er bloß so schnell, daß Schwarzbart ihn hatte?"
"Justus","Es wird immer geheimnisvoller und verzwickter. Warum steckt Mr.August den falschen Rubin in die Büste des August von Polen? Hat man ihn betrogen? Hat er nicht gemerkt, daß es ein falscher Stein war? Oder gibt es doch noch einen August, von dem wir nichts wissen?"
"Bob","Natürlich, Justus, es gibt noch einen!"
"Justus","Wirklich? Wen denn?"
"Bob","Gerade ist es mir eingefallen: Octavian. Er war ein römischer Kaiser. Und der wurde Augustus genannt. Als Mr.August schrieb: „August ist der Hüter Deines Glücks! Meinte er bestimmt Octavian. Denn nach ihm ist unser Monat August benannt."
"Justus","Wir müssen Octavian suchen!"
"REGIE","Szenenübergangsmusik"
"Erzähler","Die 4 Jungen zogen sich in die Zentrale zurück, um über den Fall zu beraten."
"Peter","Also, ich finde wir sollten uns mit dem Feurigen Auge nicht mehr abgeben. Ja, wenn es um Mord geht, müssen wir Schluß machen. Papageingekrächze"
"Gus","Peter hat recht. Ich glaube nicht, daß ich das Feurige Auge noch haben möchte, selbst wenn wir es fänden. Ich bleibe lieber arm, als mit so einem Ungeheuer zu leben."
"Justus","Wir haben das Feurige Auge noch nicht gefunden. Also können wir auch nicht in Gefahr sein. Oder jedenfalls noch nicht."
"Peter","Wir sollten abstimmen. Ich bin dafür, daß wir den Fall nicht weiter bearbeiten. Wer damit einverstanden ist, sagt ja."
"Blacky","Ja, ja, ja, ja. Tote reden nicht. Tote reden nicht. Ja, ja, ja, ja."
"Peter","Ruhe da oben. Du hast nichts zu sagen, Black. Also, Ihr wollt weiter machen?"
"Justus","Natürlich!"
"Peter","Na, dann sollten wie die Polizei anrufen und den Mord an Schwarzbart melden."
"Justus","Wir haben keine Beweise. Und ohne Beweise glaubt man uns nicht. Erst muß man Schwarzbart finden."
"Peter","Also, was tun wir?"
"Bob","Telephonlawine. Wir lassen die Lawine rollen."
"Justus","Gut."
"Bob","Es müßte mit dem Teufel zugehen, wenn wir auf diese Weise Octavian nicht finden."
"Justus","Einverstanden. Wir fangen sofort an. Wer will zuerst?"
"Peter","Fang Du ruhig an, Justus."
"Justua","Also gut, dann los. Telephonscheibe dreht sich"
"Erzähler","Die Telephonlawine rollte. Justus, Peter und Bob wußten allerdings aus Erfahrung, daß erst am nächsten Tag mit Ergebnissen zurechnen war. Justus und Peter beschlossen zum Haus von Mr.August im Mittagscanyon zu fahren, während Bob die Telephonwache übernahm."
"REGIE","Telephonläuten"
"Bob","Na, also. Hebt ab 3 Detektive, Bob Andrews am Apparat."
"Tommy","Hallo?! Hier ist Tommy Farrell, ich habe eine Neuigkeit für Euch. Meine Schwester hat im Altwarenhandel Jonas ein Figur gekauft, die steht jetzt im Garten."
"Bob","Was für eine denn? Ist es Octavian?"
"Tommy","Nein, nicht Octavian. Es ist Bismarck. Nützt Euch das was?"
"Bob","Dank Dir schön, Tommy. Wir suchen nun mal Octavian. War aber nett, daß Du angerufen hast."
"Tommy","Gern geschehen."
"Bob","Schade, das war nichts. Ich werde mir jetzt mal aufschreiben, was ich über den Fall „Feuriges Auge“ weiß. Spannt Papier in die Schreibmaschine, tippt, es klingelt"
"Bob","Ach! Hebt ab 3 Detektive, Bob Andrews am Apparat?!"
"REGIE","Musik setzt ein"
"Lisa","Bob? Bob Andrews? Ihr interessiert Euch doch für eine Büste von Octavian, oder?"
"Bob","Ja, genau die suchen wir."
"Lisa","Meine Mutter hat sie. Sie wollte sie im Garten aufstellen. Aber jetzt meint sie, das Ding würde doch recht komisch aussehen. Sie sagt, sie würde sie einem Nachbar schenken."
"Bob","Darf sie nicht, Du mußt eingreifen. Die Firma Jonas legt wert auf einen erstklassigen Kundendienst. Wir kommen sobald wie möglich zu Euch und geben Deiner Mutter das Geld zurück. Ich bring' Euch eine andere Figur mit, vielleicht gefällt Euch die besser."
"Lisa","Gut, einverstanden."
"Bob","Gib mir mal bitte Eure Adresse."
"Lisa","Gut, schreib` auf!"
"Erzähler","Bob wartete auf Justus, Peter und Gus. Aber die kamen und kamen nicht. Daher faßte Bob den Entschluß, die Octavianbüste allein zu holen. Mr.Jonas erlaubte Bob mit Patrick, einem der Angestellten der Firma Jonas, in dem kleinen Laster der Firma loszufahren. Auf der Fahrt drehte Bob sich immer wieder um. Bemerkte in dem außerordentlich dichten Verkehr jedoch keine Verfolger."
"REGIE","Lastwagenrattern"
"Bob","Hier ist es, Patrick."
"Patrick","Wurde auch Zeit. Wir sind schon seit einer Stunde unterwegs. Ich nehme die Francis Bacon-Büste, die Du der Dame im Tausch anbieten willst."
"Bob","Danke."
"REGIE","Steigen aus, Türenklappern"
"Patrick","Da kommt schon jemand. Wir wurden also erwartet."
"Lisa","Hallo, hallo! Bist Du Bob Andrews von den Detektiven?"
"Bob","Ja, ich bin Bob Andrews."
"Lisa","Und Du bist hinter der Octavianbüste her? Dahinter steckt etwas Ungewöhnliches. Wahrscheinlich ein Geheimnis, nicht wahr?"
"Bob","Na ja."
"Lisa","Mit Mühe und Not konnte ich meine Mutter davon abhalten, Octavian abzugeben."
"Bob","Du hast sie also noch?"
"Lisa","Na ja, schließlich habe ich meiner Mutter erklärt, daß Octavian aus gefährlichem radioaktivem Material besteht. Und das Ihr vom Geheimdienst seit und ihn sicherstellen müßt. Kommt mit! Meine Mutter ist im Garten."
"Bob","Danke. (Schritte)"
"Lisa","Hier, hinter dem Haus. Mutti? Das hier ist einer der 3 Detektive, von denen ich Dir erzählt habe. Er will die gefährliche Octavianbüste sicherstellen."
"Mutter","Ach, nehmt Lisa bloß nicht ernst! Sie lebt in ihrer eigenen Welt der Spione. Ich glaube ihr kein Wort davon, daß Octavian radioaktiv ist, aber er macht sich hier wirklich nicht gut."
"Bob","Ich nehme ihn gern zurück. Octavian wurde gewissermaßen aus Versehen verkauft. Wenn Sie dafür gerne eine andere Büste hätten, können Sie Francis Bacon haben. Das ist er."
"Mutter","(lacht) Nein, nein, danke."
"Bob","Dann zahlen wir Ihnen das Geld zurück. knistert mit Geld Hier sind 5$."
"Mutter","Das ist wirklich sehr anständig. Ihr könnt Octavian mitnehmen."
"Bob","Kannst Du beide Büsten tragen, Patrick?"
"Patrick","Ich habe zwei Hände, dann werde ich auch zwei Büsten tragen können. Das ist doch kinderleicht. So, und was jetzt?"
"Bob","Wir tragen Octavian heraus und packen ihn in den Karton. Gut verschnürren müssen wir ihn auch."
"Lisa","Och, müßt Ihr denn schon wieder gehen? Ich bin nämlich noch nie einem richtigen Detektiv begegnet und ich möchte ihn am liebsten hundert Sachen fragen."
"Bob","Na ja, Patrick, sei so nett, geh' schon mal voraus und pack Octavian ein. Ich komm` gleich nach."
"Patrick","Na klar, Bob."
"Erzähler","Patrick ging zum Wagen zurück und verpackte eine der beiden Büsten im Karton. Dann wartete er. Als Bob nach einigen Minuten noch immer nicht kam, ging Patrick in den Garten und erinnerte ihn daran, daß Mrs. Jonas um Beeilung gebeten hatte. Bob verabschiedete sich von der redseligen Lisa und stieg mit Patrick in den Wagen und fuhr los. Weder Patrick noch er dachten daran (Musik setzt ein), nach hinten auf den Wagen zu sehen. Hätten sie das getan, wäre ihnen fraglos aufgefallen, daß der Karton mit der Büste verschwunden war. Ja, die Schwarzbart-Bande war aufmerksamer gewesen als Bob und Patrick. Lastwagenknattern"
"Patrick","So, das hätten wir geschafft!"
"Bob","Justus, Peter und Gus sind auch schon da! Na, die werden Augen machen. Vielen Dank, Patrick!"
"Patrick","Nichts zu danken, Bob."
"Bob","Ich hol' Octavian von der Ladefläche. Ich kann ... nein, nein, das ist nicht wahr! So eine Gemeinheit! Ich glaube es nicht! Nein, nein, nein!"
"Patrick","Was ist denn, Bob?"
"Bob","Der Karton ist weg! Man hat uns Octavian wieder geklaut!"
"Justus","(kommt mit den anderen angerannt): He, Bob, was ist denn los?"
"Bob","Ich hatte Octavian und jetzt ist er wieder weg!"
"Patrick","Das tut mir leid, Bob. Ich habe nichts bemerkt."
"Bob","Schon gut, Du kannst nichts dafür. Ich hätte aufpassen müssen. Ich hätte Octavian keine Sekunde aus den Augen lassen dürfen. Aber ich mußte ja unbedingt mit dieser blöden Kuh reden."
"Patrick","Wo soll ich die Figur hinstellen?"
"Bob","Stell sie da auf die Bank."
"Patrick","Okay."
"Bob","Es ist Francis Bacon. Für den Fall, daß die Dame ihn gegen Octavian eintauschen wollte. Sag` mal, Just, wo wart Ihr eigentlich so lange?"
"Justus","Beim Haus im Mittagascanyon. Wir hatten eine unangenehme Begegnung mit den Schwarzbärten."
"Peter","He, kommt doch mal her!"
"Bob","Was ist denn, Peter?"
"Peter","(lachend): Kommt her und sagt mir, ob ich recht sehe!"
"Gus","Mensch! Das ist ja gar nicht Francis Bacon! Das ist ja Octavian!"
"Bob","Was? Das gibt`s doch gar nicht!"
"Gus","Doch! Es ist Octavian! Man hat Dir die falsche Büste geklaut!"
"Bob","Patrick hat die falsche Figur eingepackt. Ich habe nicht mehr darauf geachtet und die Diebe auch nicht. Sie haben die mitgenommen, die eingepackt war."
"Peter","Kinder, das ist das Verrückteste, was ich je erlebt habe."
"Justus","Einen Hammer, Patrick, einen Hammer. Wir müssen Octavian aufschlagen, dann verstecken wir das Feurige Auge an einem sicheren Platz und gehen kein Risiko mehr ein."
"Patrick","Hammer? Auch das. Bitte schön. Hier ist einer."
"Justus","Danke."
"Peter","Seht doch mal! Da hat jemand ein Loch in den Schädel gebohrt. Etwas hineingefüllt und das Loch wieder mit Gips gefüllt. Jetzt bin ich sicher, daß wir das Feurige Auge haben."
"Bob","Los, Just, schlag` zu!"
"Justus","Nichts tu ich lieber als das. Hau ruck. Die Büste zersplittert"
"Gus","Sie zerbricht!"
"Bob","Da! Da ist eine kleine Holzdose."
"Peter","Ich hab' sie. Hier Just, mach` Du sie auf. Du bist der Chef."
"Justus","Danke, Peter."
"Peter","Mach' sie auf, Just! Zeig` uns den Rubin, der 50 Jahre lang darin versteckt war."
"Bob","Mach` schon!"
"Peter","Du, worauf wartest Du noch? Hast Du etwa Angst vor dem Fluch?"
"Justus","Nein. Die Dose erscheint mir nur nicht schwer genug. Aber, ich schraube sie auf. Schraubt die Dose auf"
"Bob","Was ist drin? Nun zeig' doch schon!"
"Gus","Just, was ist es?"
"Justus","Ein Zettel. Nichts weiter als ein Zettel Musik setzt ein Nichts weiter als ein Zettel."
"Peter","Ja, und was steht drauf?"
"Justus","Mal sehen. Eine Botschaft: Du mußt tiefgründiger forschen. Nutze die Zeit. Szenenübergangsmusik"
"Erzähler","Gus und die 3 Detektive fanden keine Ruhe in dieser Nacht. Immer wieder mußten sie über das Geheimnis nachdenken, welches das Erbe des Mr.August umgab. Was bedeuteten seine rätselhaften Worte? Am nächsten Tag kamen sie wieder in der Zentrale zusammen."
"Justus","Lesen wir den Brief, wenigstens zum Teil, noch einmal. Musik dudelt im Hintergrund"
"Peter","Gute Idee, Just. Ich weiß gar nicht mehr genau, was drin steht."
"Justus","August bist Du genannt, August macht Dich bekannt und August ist der Hüter Deines Glücks. Wie ein Berg türmt es sich vor Dir auf. Laß` Dich vor Hindernissen nicht schrecken. Wie ein Schatten liegt es auf der Stunde Deiner Geburt. Ein Beginn und zugleich ein Ende. Du mußt tiefgründig forschen. Meine Wort sollen allein Dir Wegweiser sein."
"Peter","Also, ich kann immer noch nichts damit anfangen."
"Justus","Soll ich nicht weiterlesen?"
"Gus","Ich weiß nicht. Wenn mein Großonkel keine Augustbüste gemeint hat, was dann? Natürlich haben wir jetzt August. Und morgen ist mein Geburtstag. Am 6. August, nachmittags um halb 3 bin ich zur Welt gekommen. Das hat mein Vater mir erzählt."
"Peter","Vielleicht hat es etwas mit dem Mittagscanyon zu tun. Ist überhaupt ein komischer Name: Mittagscanyon. Woher kommt der eigentlich?"
"Justus","Ich weiß nicht. Bob, schau` doch mal nach."
"Bob","Gern, Moment! In diesem Lexikon müßte es stehen. Ähm, ähm, hier, da ist es."
"Justus","Na, lies vor!"
"Bob","Mittagscanyon: ein abgelegener, schwer erreichbarer Canyon nördlich von Hollywood, wahrscheinlich so genannt, weil der spitze Schatten eines Berggipfels um die Mittagsstunde im Tal sichtbar wird und dann wie ein Zeiger einer Sonnenuhr bis zum Abend in der Ebene wandert."
"Gus","Das ist es! Das ist der Schlüssel zum Ganzen."
"Peter","Was für ein Schlüssel?"
"Justus","Das hat uns gefehlt! Morgen fahren wir zum Canyon."
"Peter","Och, ich versteh` immer nur Bahnhof und Bratkartoffeln!"
"Justus","Wir nehmen Patrick und Kenneth sicherheitshalber mit. Niemand wird es wagen uns anzugreifen, wenn wir diese Leibwache bei uns haben."
"Peter","Ja, schon gut. Ach laß' doch das (...)! Red' schon, was hast Du vor?"
"Justus","Also, Kollegen, das ist der springende Punkt. Die natürliche Sonnenuhr im Mittagscanyon. Gus, Dein Großonkel war davon überzeugt, daß Du das Rätsel leicht lösen würdest, weil Du wußtest, daß er ein Hobby hatte."
"Gus","Ja, er sammelte Uhren und interessierte sich für jede Art der Zeitmessung."
"Justus","Deshalb ging er davon aus, daß Dir die natürliche Sonnenuhr auffallen würde."
"Bob","Der Schatten des Berges zeigt auf dem Rasen die Stelle an, wo der Rubin vergraben liegt. Du mußt tiefgründig forschen. Ist das die Lösung?"
"Justus","Ja, davon bin ich überzeugt. Wie heißt es im Brief: Wie ein Berg türmt es sich vor Dir auf. Wie ein Schatten liegt es über der Stunde Deiner Geburt."
"Gus","Also müssen wir festhalten, wohin der Schatten morgen, am 6. August um 3 Uhr nachmittags zeigt."
"Peter","August - Berg - Schatten: Stunde der Geburt. Man wäre fast mit der Nase drauf gestoßen, wenn man weiß, daß von der natürlichen Sonnenuhr die Rede ist."
"Gus","Tiefgründig forschen ist auch klar: Wir sollen graben."
"Justus","Also, Kollegen, morgen fahren wir zum Mittagscanyon. Wir werden die Augen offen halten, daß uns niemand folgt."
"REGIE","Szenenübergangsmusik"
"Erzähler","Die 3 Detektive mit Gus, Kenneth und Patrick fuhren am nächsten Tag rechtzeitig los, so daß sie schon frühzeitig beim Haus von Mr.August im Mittagscanyon hätten sein können. Sie kamen im dichten Verkehr nur langsam voran, so daß sie erst kurz vor halb 3 dort waren."
"REGIE","Lastwagengeknatter, Baustellenlärm"
"Gus","Sie reißen das Haus ab! Allgemeines Oje!"
"Peter","Mr.Dwiggins sagte ja auch, das Haus wird bald abgerissen, damit hier bald wieder gebaut werden kann."
"Bob","Das ganze Grundstück wird planiert."
"Peter","Och, womöglich haben die das Feurige Auge schon ausgebuddelt."
"Gus","Das glaube ich nicht. Seht doch, der Schatten des Berges ist jetzt da drüben auf dem Rasen. Soweit sind sie noch nicht gekommen."
"Peter","Richtig!"
"Gus","Da kommt einer von den Bauarbeitern."
"Bauarbeiter","He, Ihr da! Macht Platz mit Eurer Karre! Macht Platz da! Ich muß da durch!"
"Patrick","Schon gut. Reg' Dich nicht auf!"
"Bauarbeiter","Was treibt Ihr hier? Wir brauchen keine Zuschauer!"
"Justus","Hm, mein Onkel hat die alten Möbel gekauft, die hier im Haus waren und er meinte, vielleicht hatte er etwas vergessen. Und da sollten wir nochmal nachschauen."
"Bauarbeiter","In dem Haus ist nichts mehr. Alles ausgeräumt. Also verschwindet. Wenn Euch etwas passiert, zahlt keine Versicherung."
"Justus","Dürfen wir nicht mal kurz zuschauen?"
"Bauarbeiter","Schluß jetzt! Schert Euch weg!"
"Bob","Es wird Zeit. Es ist gleich halb 3."
"Peter","Wenn wir den Zeitpunkt verpassen ist alles aus!"
"Justus","Sicher haben sie nichts dagegen, wenn wir das Haus vom Rasen aus einmal photographieren."
"Bauarbeiter","He, Junge, wohin willst Du?"
"Justus","Nur ein Photo, Sir! Ich bin sofort zurück!"
"Bauarbeiter","Ach, verdammt!"
"Gus","Was hat er vor? Warum will er das Haus photographieren?"
"Peter","Ich weiß nicht, was er will, aber photographieren will er bestimmt nicht."
"Bob","Da, er ist jetzt auf dem Rasen. Der Schatten ist nur noch 2 Meter von ihm entfernt. Er photographiert."
"Peter","Jetzt legt er die Kamera ins Gras."
"Gus","Er bindet sich die Schnürsenkel zu."
"Bob","Das war alles?! Er kommt zurück."
"Gus","Das verstehe ich nicht. Was hat Justus nun wirklich gemacht?"
"Patrick","Keine Ahnung."
"Gus","Er kommt. Er wird es uns schon sagen."
"Justus","Los, Patrick! Wir fahren in die Stadt zurück."
"REGIE","Musik setzt ein"
"Erzähler","Justus schwieg sich aus über seine Pläne. Er sagt nur, daß er nach Anbruch der Dunkelheit in den Mittagscanyon zurückkehren wolle. Sobald er wieder auf dem Schrottplatz war, zog er sich in seine Werkstatt zurück. Als es dunkel wurde, brachen die 3 Detektive mit Gus und Patrick erneut auf. (Lastwagengeknatter) Justus hatte ein geheimnisvolles Gerät dabei."
"Justus","So, wir sind da. Aussteigen! Ich bin sicher, daß uns niemand gefolgt ist. Jetzt holen wie uns das Feurige Auge."
"Bob","Ich finde, Du könntest uns allmählich sagen, wie Du das machen willst."
"Peter","Ja."
"Justus","Nehmt die Taschenlampen mit! Schlagen die Autotüren zu Wir sind allein. Wir haben alle möglichen Verfolger abgeschüttelt und Mr.Dreipunkt hat das Nachsehen."
"Gus","Just, was hast Du da für ein Gerät?"
"Justus","Also, Kollegen, das ist ein Metallsuchgerät."
"Peter","Metallsuchgerät? Wozu das? Ein Rubin besteht doch nicht aus Metall."
"Justus","Nein. Aber als ich mich heute Nachmittag bückte und meinen Schnürsenkel band, da habe ich eine Silbermünze in den Rasen gesteckt."
"Gus","Und diese Münze willst Du jetzt suchen."
"Justus","Genau. Kommt, ich schalte das Gerät ein. Schritte im Rasen Hier ungefähr ist es gewesen."
"Peter","Also, ich hör' nichts."
"Justus","Ach, Geduld! So schnell geht's doch nicht."
"Gus","Es war ja auch nicht genau halb 3, sondern etwas früher."
"Justus","Eben. Ich konnte den Ort nur ungefähr bestimmen. Knacken im Gerät"
"Bob","Halt! Ich habe was gehört!"
"Justus","Ich auch. Hier war es glaube ich. Kollegen, wir haben es gefunden. Hier ist die Münze, seht Ihr!"
"Peter","Und jetzt graben wir. Ich fang' an."
"Bob","Dann los. Bei dieser Arbeit will ich mich nicht vordrängen."
"Peter","Der Boden ist weich. Es geht leicht. Da, da ist was! Moment, das hab` ich gleich. Ein kleiner Kasten. Hier, Justus, kannst Du ihn fassen?"
"Justus","(ächzt) Ich hab' ihn."
"Gus","Schnell!"
"Justus","Ich bin ja schon dabei. So!"
"REGIE","Der Deckel des Kasten quietscht"
"Peter","Das Feurige Auge!"
"Gus","Der Stein!"
"Peter","Wir haben es geschafft! Freudenjubel"
"Justus","Pssst, seid Ihr wahnsinnig geworden? Wir könnt Ihr einen derartigen Lärm machen? Wollt Ihr die Schwarzbärte oder den Inder herbeibrüllen?"
"Rhandur","Gar nicht mehr notwendig. Ich bin bereits da."
"Justus","Mr. Rhandur!"
"Rhandur","Mir gehört das Feurige Auge. Gebt es mir! Weglaufen hat keinen Sinn. Meine Männer haben Euch eingekreist. Gebt mir den Stein! Ihr habt ihn endgültig verloren."
"Justus","Mr.Rhandur, sind Sie vom Tempel der Gerechtigkeit in Pleshiva?"
"Rhandur","Das bin ich, junger Mann. Seit 50 Jahren sind wir auf der Suche nach dem Feurigen Auge. Jetzt haben wir es und wir werden nicht darauf verzichten."
"Justus","Das Feurige Auge kann gefunden, als Geschenk empfangen oder gekauft werden, aber es darf nicht geraubt oder gestohlen werden, so ist es überliefert. Wenn Sie es also stehlen, Mr.Rhandur, dann werden Sie dafür büßen müssen."
"Rhandur","So, hm."
"Justus","Sie kennen dieses Wort doch, Mr.Rhandur!"
"Rhandur","Ja, Du hast recht. Ich wage es nicht, es Euch zu rauben. Allerdings, ich kann das Feurige Auge kaufen. Hier ist ein Scheck. Ich rate Euch, das Angebot anzunehmen."
"Justus","Darf ich mal sehen, Mr. Rhandur?"
"Rhandur","Gern. Bitte."
"Rhandur","Es war töricht von mir zu glauben, daß ich Euch zwingen könnte, mir den Stein umsonst zu geben. Lebt wohl!"
"Justus","Leben Sie wohl, Mr.Rhandur!"
"Rhandur","Ich bin glücklich, daß ich den Stein habe."
"Justus","Wir haben es geschafft! Wir haben es! Freudenjubel"
"Gus","Ich gebe eine Party! Ich gebe eine riesige Eis- und Tortenparty und ihr seid alle meine Gäste!"
"REGIE","Allgemeiner Freudenjubel"
"REGIE","Cassettenendemusik"
